dept,full name,short name,degree type
LING,"Linguistics Major, Speech-Language Sciences-Disorders Emphasis",Speech-Language Sciences,BA
LING,Language and Speech Technologies Minor,Language and Speech Technologies,Minor
LING,Linguistics Minor,Linguistics,Minor
LING,Teaching English to Speakers of Other Languages Minor,English Teaching,Minor
LING,Sociocultural Linguistics Minor,Sociocultural Linguistics,Minor
LING,Speech-Language Sciences and Disorders Minor,Speech-Language Sciences,Minor
MATH,Mathematics BS Major,Mathematics BS,BS
MATH,Applied Mathematics Major,Applied Mathematics,BS
MATH,Mathematics BA Major,Mathematics BA,BA
MATH,Financial Mathematics-Statistics Major,Financial Math and Stats,BS
MATH,Pre-Mathematics Major-Pre-Applied Mathematics Major,Pre-Mathematics,Pre
MATH,Pre-Financial Mathematics- Statistics Major,Pre-Financial Math and Stats,Pre
MATH,Mathematics Minor,Mathematics,Minor
MATH,Mathematics For High School Teaching Minor,Mathematics for HS Teaching,Minor
ME ST,Medieval Studies Major,Medieval Studies,BA
MCDB,"Biochemistry, Molecular Biology Major",Biochemistry and Molecular Biology,BS
MCDB,Microbiology Major,Microbiology,BS
MCDB,Pharmacology Major,Pharmacology,BS
MCDB,Cell and Developmental Biology Major,Cell and Developmental Biology,BS
MUS,Music Studies Major,Music,BA
MUS,"Music Studies Major, Ethnomusicology Emphasis",Ethnomusicology,BA
MUS,"Music Studies Major, Interdisciplinary Studies of Music Emphasis",Interdisciplinary Music,BA
MUS,"Music Studies Major, Western Art Music Emphasis",Western Music,BA
MUS,Bachelor of Music Major-Bassoon Emphasis,Bassoon,BM
MUS,"Bachelor of Music Major, Cello Emphasis",Cello,BM
MUS,"Bachelor of Music Major, Clarinet Emphasis",Clarinet,BM
MUS,"Bachelor of Music Major, Composition Emphasis",Music Composition,BM
MUS,"Bachelor of Music Major, Double Bass Emphasis",Bass,BM
MUS,"Bachelor of Music Major, Flute Emphasis",Flute,BM
MUS,"Bachelor of Music Major, French Horn Emphasis",French Horn,BM
MUS,"Bachelor of Music Major, Oboe Emphasis",Oboe,BM
MUS,"Bachelor of Music Major, Percussion Emphasis",Percussion,BM
MUS,"Bachelor of Music Major, Piano Emphasis",Piano,BM
MUS,"Bachelor of Music Major, Trombone Emphasis",Trombone,BM
MUS,"Bachelor of Music Major, Trumpet Emphasis",Clarinet,BM
MUS,"Bachelor of Music Major, Tuba Emphasis",Tuba,BM
MUS,"Bachelor of Music Major, Viola Emphasis",Viola,BM
MUS,"Bachelor of Music Major, Violin Emphasis",Violin,BM
MUS,"Bachelor of Music Major, Voice Emphasis",Voice,BM
MUS,Music Minor,Music,Minor
PHIL,"Philosophy Major, Concentration I, Core Philosophy",Philosophy,BA
PHIL,"Philosophy Major, Concentration II, Ethics and Public Policy",Ethics and Public Policy,BA
PHIL,Philosophy Minor,Philosophy,Minor
PHYS,Physics BS Major,Physics BS,BS
PHYS,Physics BA Major,Physics BA,BA
PHYS,Physics Minor,Physics,Minor
ASTRO,Astronomy-Planetary Science Minor,Astronomy,Minor
POL S,Political Science Major,Political Science,BA
POL S,Pre-Political Science Major,Pre-Political Science,BA
PSY,Psychological and Brain Science Major,Psychology,BS
PSY,Biopsychology Major,Biopsychology,BS
PSY,Pre-Psychological and Brain Science Major,Pre-Psychology,Pre
PSY,Pre-Biopsychology Major,Pre-Biopsychology,Pre
MES,Middle East Studies Major,Middle East Studies,BA
RG ST,Religious Studies Major,Religious Studies,BA
RG ST,American Indian- Indigenous Studies Minor,American Indian Studies,Minor
RG ST,Iranian Studies Minor,Iranian Studies,Minor
RG ST,Jewish Studies Minor,Jewish Studies,Minor
RG ST,Religious Studies Minor,Religious Studies,Minor
SOC,Sociology Major,Sociology,BA
SOC,Pre-Sociology Major,Pre-Sociology,Pre
SPAN,Spanish Major,Spanish,BA
PORT,Portuguese Major,Portuguese,BA
SPAN,Spanish Minor,Spanish,Minor
PORT,Portuguese Minor,Portuguese,Minor
PSTAT,Pre-Actuarial Science Major,Pre-Actuarial Science,Pre
PSTAT,Actuarial Science Major,Actuarial Science,BS
PSTAT,Pre-Statistics and Data Science Major,Pre-Statistics and Data Science,Pre
PSTAT,Statistics-Data Science BA Major,Statistics and Data Science BA,BA
PSTAT,Statistics-Data Science BS Major,Statistics and Data Science BS,BS
PSTAT,Statistical Science Minor,Statistical Science,Minor
THTR,Theater BA Major,Theater,BA
